engine_id,cylinder,n_cylinders,mV_0,mV_1,mV_2,mV_3,mV_4,mV_5,mV_6,mV_7,mV_8,mV_9,mV_10,mV_11,mV_12,mV_13,mV_14,mV_15,mV_16,mV_17,mV_18,mV_19,mV_20
train_0009,9,12,36.269,35.693,25.485,36.467,42.201,46.769,50.608,54.531,56.136,55.896,54.871,52.448,48.601,44.672,41.773,,32.078,26.802,10.063,22.001,27.012
train_0009,10,12,36.393,35.258,25.12,36.469,41.985,46.026,48.881,51.796,53.483,54.761,54.253,51.391,46.854,42.892,39.588,34.5,27.63,22.598,12.712,22.964,23.543
train_0009,11,12,36.081,34.869,26.494,37.912,43.151,,50.287,53.655,55.683,56.078,54.797,51.98,48.523,44.523,40.531,35.903,29.144,24.403,9.218,20.351,25.008
train_0009,12,12,38.027,35.081,26.025,37.394,43.119,47.97,52.034,56.106,57.859,57.806,56.12,53.374,49.694,45.895,42.177,36.683,,22.973,5.899,19.909,23.664
train_0010,1,16,34.046,32.799,25.278,36.492,41.457,45.162,48.409,52.168,54.874,55.677,55.683,54.133,51.856,48.137,44.361,40.337,34.444,27.748,22.964,,22.602
train_0010,2,16,40.668,29.959,35.19,42.678,47.764,52.476,56.36,59.753,61.557,62.696,62.99,,58.408,53.989,49.945,46.159,41.385,35.694,31.343,13.874,26.67
train_0010,3,16,37.69,31.12,29.532,39.231,44.613,48.983,52.495,56.141,58.133,58.648,58.657,57.058,54.238,50.148,46.657,43.111,,31.472,26.638,9.596,22.748
train_0010,4,16,36.951,32.133,29.663,40.093,45.461,49.689,52.729,56.724,60.016,61.141,60.508,57.858,54.789,,47.852,44.168,38.829,31.92,26.681,10.375,23.24
train_0010,5,16,38.747,35.488,28.141,39.887,45.291,49.943,54.444,58.714,60.345,60.342,60.053,57.93,54.855,51.237,47.915,43.693,37.137,31.092,22.658,19.485,27.394
train_0010,6,16,38.549,37.217,,38.513,43.742,48.42,52.39,56.388,60.071,,62.048,59.306,55.842,51.219,46.927,43.661,39.492,,,9.699,23.827
train_0010,7,16,34.659,26.607,,16.651,17.905,,22.74,24.485,20.977,18.474,18.227,13.241,10.446,8.573,8.858,9.995,7.975,3.508,1,1,
train_0010,8,16,33.776,25.655,27.416,36.463,,46.864,50.872,54.664,56.612,57.226,57.026,55.393,51.47,46.576,43.393,40.149,34.344,27.974,21.248,12.81,23.693
train_0010,9,16,39.599,37.406,27.65,39.037,44.907,49.719,53.495,,59.502,60.202,60.679,59.391,56.9,52.634,48.364,44.709,40.193,33.987,30.291,12.854,24.378
train_0010,10,16,37.519,28.116,33.442,41.549,46.701,51.044,55.021,59.459,,62.652,62.095,59.556,55.746,51.398,48.228,45.012,39.923,33.5,29.071,12.683,26.663
train_0010,11,16,35.882,25.854,31.113,39.603,42.754,45.662,44.1,47.181,46.836,44.687,46.93,46.147,44.518,40.974,38.33,38.059,34.201,27.63,22.668,7.536,18.845
train_0010,12,16,35.472,33.309,27.289,38.054,42.934,,50.562,54.495,57.312,58.464,58.71,56.551,53.324,49.362,46.177,42.958,38.128,31.946,27.952,12.051,26.025
train_0010,13,16,38.253,35.604,27.653,37.638,,,50.598,54.201,57.413,59.118,59.587,57.415,54.337,50.542,47.235,44.154,39.685,32.897,27.945,10.86,22.136
train_0010,14,16,34.711,25.934,30.507,38.833,43.545,47.37,51.248,,57.722,57.985,57.111,55.284,52.499,48.614,45.128,41.55,36.067,30.2,23.634,13.942,23.282
train_0010,15,16,39.104,30.61,33.563,41.603,46.728,51.568,56.017,60.194,62.264,62.779,62.365,60.593,57.742,53.484,49.481,45.533,39.97,33.3,28.799,13.821,28.133
train_0010,16,16,37.916,31.196,29.523,38.93,43.721,47.798,51.132,54.613,57.143,58.134,58.31,56.759,54.34,50.363,46.385,42.787,38.203,31.843,27.677,10.704,
train_0011,1,12,,30.394,25.368,34.284,41.763,48.869,54.501,57.835,60.263,61.82,,59.408,57.022,52.567,47.648,43.738,37.493,31.93,23.965,,17.541
train_0011,2,12,,28.619,23.767,31.858,39.075,46.311,51.633,53.765,,55.538,54.534,52.8,50.841,47.711,44.459,41.107,34.769,28.874,20.886,10.109,17.406
train_0011,3,12,38.01,32.913,27.246,34.771,41.586,48.624,53.82,56.38,58.095,58.778,56.725,55.826,54.047,50.122,46.028,39.714,33.372,,,13.063,20.404
train_0011,4,12,33.054,28.027,22.744,31.207,38.911,45.758,49.827,51.412,53.086,54.732,53.859,53.08,49.727,44.645,,36.109,30.746,23.392,11.166,12.493,19.511
train_0011,5,12,32.066,,22.571,30.369,37.252,44.085,49.633,52.847,54.201,53.809,51.617,51.054,49.797,46.073,41.67,36.666,31.057,,17.046,8.507,16.744
train_0011,6,12,38.453,32.127,22.669,33.069,39.374,45.252,46.067,48.548,48.046,47.574,47.478,46.648,45.782,41.35,36.632,35.496,,26.522,17.072,6.198,14.559
train_0011,7,12,36.455,29.441,,34.475,41.087,47.37,52.157,54.644,56.466,57.839,56.786,55.061,52.48,48.238,44.32,41.147,35.937,,21.023,10.842,19.895
train_0011,8,12,33.892,,26.194,33.872,40.599,47.028,,54.849,56.821,57.531,55.472,,52.294,,,40.067,33.941,27.849,18.856,9.292,18.292
train_0011,9,12,38.543,33.588,27.561,36.049,43.506,50.943,56.319,59.04,61.199,62.461,,58.923,55.952,,,41.722,35.504,29.402,19.06,16.511,23.423
train_0011,10,12,31.57,26.734,22.201,30.284,37.306,44.17,49.089,51.632,53.119,53.47,51.586,50.929,48.632,44.626,41.604,36.369,31.065,23.924,11.863,12.464,17.791
train_0011,11,12,46.007,48.385,19.446,,44.749,51.31,55.521,55.868,48.259,34.132,53.093,64.783,68.616,65.675,62.963,60.075,55.306,50.431,38.988,26.668,33.228
train_0011,12,12,38.353,30.021,31.233,40.044,48.249,55.387,59.958,62.12,63.161,63.402,61.242,60.331,58.058,53.663,49.846,45.316,39.527,33.523,23.946,14.67,24.126
train_0012,1,8,35.138,28.448,23.455,30.724,40.944,48.679,,57.631,,58.211,52.89,45.181,37.854,32.354,28.643,28.187,31.958,37.507,39.652,38.47,38.468
train_0012,2,8,34.205,25.81,14.963,11.18,15.493,17.542,23.762,25.507,20.872,18.045,14.641,4.312,1,1.069,1.114,1.129,1.627,5.673,10.092,5.82,2.072
train_0012,3,8,35.16,31.062,26.365,30.238,38.791,47.013,53.806,58.384,59.562,59.58,54.924,47.206,39.914,34.579,30.84,28.927,30.896,35.277,39.638,39.546,39.712
train_0012,4,8,33.787,26.776,23.8,32.384,43.043,50.953,55.885,,59.175,,53.097,45.766,39.039,33.585,29.701,28.57,31.476,36.067,39.799,38.9,38.217
train_0012,5,8,33.402,27.559,21.817,,35.824,43.57,49.205,53.369,54.942,55.849,52.699,45.415,36.996,30.694,27.257,26.203,28.716,32.598,36.233,35.43,
train_0012,6,8,37.445,29.657,23.905,29.718,39.836,48.361,54.299,57.828,58.895,59.988,57.089,49.713,41.092,33.966,29.156,27.286,29.843,34.077,,38.046,37.71
train_0012,7,8,24.505,22.375,20.507,23.209,27.856,32.881,38.111,60.717,60.938,61.087,59.842,56.212,,26.324,24.883,26.485,27.678,29.35,30.196,,29.07
train_0012,8,8,37.556,29.474,24.177,30.836,40.693,48.611,,60.325,62.372,62.274,57.161,48.682,40.299,,29.823,27.632,29.404,33.659,38.44,37.995,37.879
train_0013,1,12,40.725,41.562,34.078,36.569,46.177,51.747,56.485,61.287,64.476,65.576,64.782,61.597,56.53,,47.034,40.222,32.478,19.438,23.086,31.529,31.621
train_0013,2,12,36.155,35.735,25.184,31.066,38.419,44.126,48.957,53.944,56.801,57.556,56.292,53.641,49.254,44.302,39.123,32.137,26.259,9.389,20.512,25.625,26.201
train_0013,3,12,38.422,38.217,25.73,36.94,43.683,49.099,53.284,,59.215,60.309,59.626,56.852,52.352,47.675,43.789,38.483,31.116,25.179,12.756,25.116,26.615
train_0013,4,12,42.325,37.132,35.405,46.527,52.071,56.851,61.606,65.368,66.269,66.744,64.397,60.381,55.597,51.672,46.811,39.198,33.514,14.891,27.43,32.921,32.028
train_0013,5,12,39.024,37.649,31.444,42.936,48.299,52.857,57.234,61.271,62.669,62.683,60.053,56.964,52.988,48.722,43.094,34.957,29.485,11.677,26.052,30.48,29.758
train_0013,6,12,36.658,36.036,26.981,30.555,38.716,43.966,48.851,54.039,57.299,58.538,58.008,55.158,50.339,45.67,41.09,33.949,26.558,12.863,18.663,25.511,25.574
train_0013,7,12,36.377,35.746,24.378,36.844,42.613,,50.301,55.215,57.366,57.898,56.389,53.117,48.367,44.676,40.66,,,9.901,21.806,,28.478
train_0013,8,12,37.213,34.685,26.84,38.278,44.076,48.87,53.213,57.258,58.853,59.169,56.924,53.785,49.624,,40.865,33.373,27.49,8.711,23.207,,
train_0013,9,12,39.665,39.055,26.031,37.878,44.622,49.892,53.906,58.281,61.166,62.208,60.101,56.122,51.465,47.469,43.247,36.593,29.494,18.184,19.037,27.915,29.068
train_0013,10,12,37.325,36.896,23.72,34.437,42.137,48.026,52.38,56.584,58.426,58.899,56.689,52.982,48.333,44.173,39.385,31.932,26.187,7.966,22.182,25.821,24.955
train_0013,11,12,35.926,33.988,23.445,34.762,40.165,44.788,49.437,54.443,56.747,57.409,55.454,51.971,47.253,43.108,39.182,33.075,26.61,13.829,16.92,24.045,23.715
train_0013,12,12,,38.025,31.373,43.081,48.927,54.211,58.565,62.059,63.148,63.472,61.131,57.179,51.839,47.421,43.085,36.057,30.311,10.777,25.121,30.224,30.463
train_0014,1,8,30.786,26.936,20.43,34.651,40.833,,47.026,48.738,50.477,51.292,51.111,50.069,46.701,41.994,,25.436,23.422,25.687,30.115,31.401,32.154
train_0014,2,8,27.879,21.317,1.255,12.101,24.748,31.023,33.839,33.958,33.999,33.075,32.228,29.523,25.935,21.895,,15.893,14.641,21.768,28.8,25.541,19.877
train_0014,3,8,36.455,,24.671,35.848,43.399,47.205,50.229,,55.688,57.485,,55.231,52.809,49.077,42.971,34.04,27.675,29.845,33.238,36.082,36.462
train_0014,4,8,,24.365,20.471,35.621,41.345,44.84,47.198,48.682,50.583,52.139,52.363,51.333,47.831,43.789,37.989,28.596,22.429,24.63,29.24,32.65,33.14
train_0014,5,8,34.216,26.634,25.529,38.869,43.253,46.083,48.709,51.36,53.998,54.885,53.969,52.095,48.461,44.003,37.886,29.438,26.509,28.672,32.116,32.976,32.729
train_0014,6,8,38.029,35.969,33.635,39.769,42.124,32.774,26.066,41.238,45.919,46.488,45.433,44.324,42.743,41.077,39.041,36.55,36.199,38.039,39.956,41.236,41.489
train_0014,7,8,31.048,23.648,25.545,39.001,44.408,,51.114,53.12,54.635,55.055,54.924,53.414,49.651,45.475,39.218,29.244,24.2,26.919,32.458,35.128,34.765
train_0014,8,8,27.623,24.747,18.685,31.651,37.844,41.291,43.901,46.299,48.191,48.534,47.949,47.19,44.626,40.383,33.69,25.1,23.095,26.032,30.418,31.132,30.296
train_0015,1,12,34.163,34.357,34.559,24.947,33.21,,43.457,46.947,50.454,52.391,53.214,52.276,49.835,46.107,42.159,38.189,32.501,26.683,15.034,20.224,26.6
train_0015,2,12,39.731,38.62,37.826,26.739,37.994,43.715,47.985,51.549,55.499,57.475,58.007,56.412,53.115,48.26,44.068,40.649,35.319,29.131,17.899,19.948,26.911
train_0015,3,12,42.455,42.574,39.929,31.361,42.247,47.814,52.897,57.27,61.113,62.651,63.22,61.346,58.175,53.407,48.937,44.342,37.67,32.193,15.194,24.919,29.198
train_0015,4,12,35.021,41.226,49.413,35.081,42.61,47.296,51.033,53.456,50.064,31.254,52.681,65.296,69.607,67.036,,62.474,57.072,51.294,31.876,39.622,42.582
train_0015,5,12,37.353,37.688,38.235,27.877,37.776,44.431,48.572,52.287,56.642,59.06,59.576,58.025,54.903,50.254,45.732,41.992,36.653,30.513,19.157,20.501,27.155
train_0015,6,12,,35.924,35.664,24.765,35.009,40.791,45.765,49.205,52.403,54.055,54.196,52,49.209,45.473,41.79,38.106,32.62,26.765,15.816,,26.331
train_0015,7,12,34.322,35.474,36.063,25.039,35.738,40.54,44.28,48.299,52.728,54.669,55.159,52.934,49.097,44.085,40.19,36.461,30.133,24.902,,21.936,24.092
train_0015,8,12,43.354,43.13,,30.546,41.987,49.223,54.679,58.297,61.95,64.582,66.037,64.479,61.053,56.14,51.792,47.324,39.838,32.785,16.862,26.787,33.213
train_0015,9,12,,39.157,38.702,27.253,37.235,44.152,49.486,54.065,58.456,60.704,61.578,60.436,57.207,52.573,48.288,44.272,38.131,31.265,20.554,22.553,30.361
